username,codeberg_found,codeberg_url,github_url,teams
eitoball,yes,https://codeberg.org/eitoball,https://github.com/eitoball,"teamdata"
hanyu,yes,https://codeberg.org/hanyu,https://github.com/hanyu,"teamdata"
julovi,yes,https://codeberg.org/julovi,https://github.com/julovi,"teamdata"
matschaffer,yes,https://codeberg.org/matschaffer,https://github.com/matschaffer,"teamdata"
maxime,yes,https://codeberg.org/maxime,https://github.com/maxime,"Team safecast.org|teamdata"
rabble,yes,https://codeberg.org/rabble,https://github.com/rabble,"teamdata"
robouden,yes,https://codeberg.org/robouden,https://github.com/robouden,"bGeigie|bGeigie-devel|Team safecast.org|teamdata"
thinrope,yes,https://codeberg.org/thinrope,https://github.com/thinrope,"academic team|Team safecast.org|teamdata"
ArgosAge,no,,https://github.com/ArgosAge,"Team safecast.org|teamdata"
Azamatprea,no,,https://github.com/Azamatprea,"teamdata"
Azby,no,,https://github.com/Azby,"Team safecast.org|teamdata"
Claypuppet,no,,https://github.com/Claypuppet,"bGeigie|bGeigie-devel|Team safecast.org|teamdata"
Darylbee,no,,https://github.com/Darylbee,"bGeigie|bGeigie-devel|teamdata"
Frangible,no,,https://github.com/Frangible,"Team safecast.org|teamdata"
LeonardoCahuana,no,,https://github.com/LeonardoCahuana,"Team safecast.org|teamdata"
LucidOne,no,,https://github.com/LucidOne,"Team safecast.org"
Nakushi64,no,,https://github.com/Nakushi64,"Team safecast.org|teamdata"
PatoMontalvo,no,,https://github.com/PatoMontalvo,"bGeigie|bGeigie-devel|Team safecast.org|teamdata"
Pheipp,no,,https://github.com/Pheipp,"teamdata"
SafecastWeb,no,,https://github.com/SafecastWeb,"Team safecast.org"
ZacharyCChang0828,no,,https://github.com/ZacharyCChang0828,"teamdata"
ZaphodBeeblebroxIV,no,,https://github.com/ZaphodBeeblebroxIV,"teamdata"
agwn,no,,https://github.com/agwn,"bGeigie-devel|Team safecast.org|teamdata"
altair-wq,no,,https://github.com/altair-wq,"teamdata"
alvn,no,,https://github.com/alvn,"Team safecast.org|teamdata|Visualizations"
anditto,no,,https://github.com/anditto,"teamdata"
audreyde,no,,https://github.com/audreyde,"teamdata"
auspicacious,no,,https://github.com/auspicacious,"Team safecast.org|teamdata|Visualizations"
banggung,no,,https://github.com/banggung,"Team safecast.org|teamdata"
bidouilles,no,,https://github.com/bidouilles,"bGeigie-devel|Team safecast.org"
boris-arzur,no,,https://github.com/boris-arzur,"bGeigie-devel|Team safecast.org"
bunnie,no,,https://github.com/bunnie,"Team safecast.org"
catherinermohr,no,,https://github.com/catherinermohr,"Team safecast.org|teamdata"
cowgp,no,,https://github.com/cowgp,"Team safecast.org"
denvazh,no,,https://github.com/denvazh,"teamdata"
diffalot,no,,https://github.com/diffalot,"teamdata"
digitalhen,no,,https://github.com/digitalhen,"teamdata"
elafargue,no,,https://github.com/elafargue,"teamdata"
evadne,no,,https://github.com/evadne,"teamdata"
fakufaku,no,,https://github.com/fakufaku,"academic team|bGeigie-devel|Team safecast.org|teamdata"
freaklabs,no,,https://github.com/freaklabs,"teamdata"
fujibee,no,,https://github.com/fujibee,"teamdata"
haiyan,no,,https://github.com/haiyan,"Team safecast.org"
halfdanrump,no,,https://github.com/halfdanrump,"teamdata"
imf,no,,https://github.com/imf,"Team safecast.org"
j0ry,no,,https://github.com/j0ry,"teamdata"
jamoross,no,,https://github.com/jamoross,"academic team|bGeigie-devel|Team safecast.org"
joncse,no,,https://github.com/joncse,"teamdata"
junyamadera,no,,https://github.com/junyamadera,"teamdata"
kirai,no,,https://github.com/kirai,"teamdata"
kustom666,no,,https://github.com/kustom666,"teamdata"
levisimons,no,,https://github.com/levisimons,"teamdata"
louisbertrand,no,,https://github.com/louisbertrand,"Team safecast.org|teamdata"
ma2gedev,no,,https://github.com/ma2gedev,"Team safecast.org|teamdata"
mcrollin,no,,https://github.com/mcrollin,"Team safecast.org|teamdata"
merrick-richers,no,,https://github.com/merrick-richers,"teamdata"
mightycrafter,no,,https://github.com/mightycrafter,"teamdata"
munazo,no,,https://github.com/munazo,"teamdata"
nokton,no,,https://github.com/nokton,"academic team|Owners|Team safecast.org"
norcross,no,,https://github.com/norcross,"Team safecast.org|teamdata"
paulca,no,,https://github.com/paulca,"Team safecast.org"
rayozzie,no,,https://github.com/rayozzie,"Owners"
rdeskins,no,,https://github.com/rdeskins,"Team safecast.org|teamdata"
rknLA,no,,https://github.com/rknLA,"Team safecast.org|teamdata"
safecastci,no,,https://github.com/safecastci,"teamdata"
samluescher,no,,https://github.com/samluescher,"Team safecast.org|Visualizations"
samstiv,no,,https://github.com/samstiv,"teamdata"
sasharevzin,no,,https://github.com/sasharevzin,"Team safecast.org|teamdata"
seanbonner,no,,https://github.com/seanbonner,"academic team|bGeigie-devel|Owners|Team safecast.org|teamdata|Visualizations"
sohlis,no,,https://github.com/sohlis,"academic team|bGeigie-devel|teamdata|Visualizations"
sonomasoft,no,,https://github.com/sonomasoft,"teamdata"
steverife,no,,https://github.com/steverife,"Team safecast.org"
stphnthiel,no,,https://github.com/stphnthiel,"academic team|bGeigie|bGeigie-devel|teamdata|Visualizations"
suhas-km,no,,https://github.com/suhas-km,"teamdata"
tamemotoakihiro,no,,https://github.com/tamemotoakihiro,"bGeigie-devel|Team safecast.org|teamdata|Visualizations"
tomasdiez,no,,https://github.com/tomasdiez,"teamdata"
tonydevincenzi,no,,https://github.com/tonydevincenzi,"Team safecast.org|Visualizations"
van-van-nguyen,no,,https://github.com/van-van-nguyen,"teamdata"
vr2uqq,no,,https://github.com/vr2uqq,"teamdata"
willdickson,no,,https://github.com/willdickson,"teamdata"
yokolet,no,,https://github.com/yokolet,"teamdata"
ysaw,no,,https://github.com/ysaw,"Team safecast.org"
